frame_id,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
000149,-3.144943,0.169885,-0.171538,0.000000,0.965926,0.000000,0.258819
000150,-3.144943,0.169885,-0.171538,0.000000,0.976296,0.000000,0.216440
000151,-3.144943,0.169885,-0.171538,0.000000,0.984808,0.000000,0.173648
000152,-3.144943,0.169885,-0.171538,0.000000,0.991445,0.000000,0.130526
000153,-3.144943,0.169885,-0.171538,0.000000,0.996195,0.000000,0.087156
000154,-3.144943,0.169885,-0.171538,0.000000,0.999048,0.000000,0.043619
000155,-3.144943,0.169885,-0.171538,0.000000,1.000000,0.000000,0.000000
000156,-3.144943,0.169885,-0.171538,0.000000,0.999048,0.000000,-0.043619
000157,-3.144943,0.169885,-0.171538,0.000000,0.996195,0.000000,-0.087156
000158,-3.144943,0.169885,-0.171538,0.000000,0.991445,0.000000,-0.130526
000159,-3.144943,0.169885,-0.171538,0.000000,0.991445,0.000000,-0.130526
000160,-3.144943,0.169885,-0.171538,0.000000,0.991445,0.000000,-0.130526
000161,-3.144943,0.169885,-0.171538,0.000000,0.991445,0.000000,-0.130526
000162,-3.144943,0.169885,-0.171538,0.000000,0.991445,0.000000,-0.130526
000163,-3.144943,0.169885,-0.171538,0.000000,0.991445,0.000000,-0.130526
000164,-3.119061,0.169885,-0.074945,0.000000,0.991445,0.000000,-0.130526
000165,-3.119061,0.169885,-0.074945,0.000000,0.984808,0.000000,-0.173648
000166,-3.119061,0.169885,-0.074945,0.000000,0.984808,0.000000,-0.173648
000167,-3.119061,0.169885,-0.074945,0.000000,0.984808,0.000000,-0.173648
000168,-3.119061,0.169885,-0.074945,0.000000,0.984808,0.000000,-0.173648
000169,-3.119061,0.169885,-0.074945,0.000000,0.984808,0.000000,-0.173648
000170,-3.119061,0.169885,-0.074945,0.000000,0.976296,0.000000,-0.216440
000171,-3.119061,0.169885,-0.074945,0.000000,0.976296,0.000000,-0.216440
000172,-3.119061,0.169885,-0.074945,0.000000,0.976296,0.000000,-0.216440
000173,-3.119061,0.169885,-0.074945,0.000000,0.965926,0.000000,-0.258819
000174,-3.119061,0.169885,-0.074945,0.000000,0.965926,0.000000,-0.258819
000175,-3.119061,0.169885,-0.074945,0.000000,0.965926,0.000000,-0.258819
000176,-3.119061,0.169885,-0.074945,0.000000,0.965926,0.000000,-0.258819
000177,-3.069061,0.169885,0.011658,0.000000,0.965926,0.000000,-0.258819
000178,-3.069061,0.169885,0.011658,0.000000,0.965926,0.000000,-0.258819
000179,-3.069061,0.169885,0.011658,0.000000,0.965926,0.000000,-0.258819
000180,-3.019061,0.169885,0.098260,0.000000,0.965926,0.000000,-0.258819
000181,-2.969061,0.169885,0.184863,0.000000,0.965926,0.000000,-0.258819
000182,-2.919061,0.169885,0.271465,0.000000,0.965926,0.000000,-0.258819
000183,-2.869061,0.169885,0.358068,0.000000,0.965926,0.000000,-0.258819
000184,-2.819061,0.169885,0.444671,0.000000,0.965926,0.000000,-0.258819
000185,-2.769061,0.169885,0.531273,0.000000,0.965926,0.000000,-0.258819
000186,-2.719061,0.169885,0.617876,0.000000,0.965926,0.000000,-0.258819
000187,-2.669061,0.169885,0.704478,0.000000,0.965926,0.000000,-0.258819
000188,-2.669061,0.169885,0.704478,0.000000,0.976296,0.000000,-0.216440
000189,-2.669061,0.169885,0.704478,0.000000,0.976296,0.000000,-0.216440
000190,-2.669061,0.169885,0.704478,0.000000,0.976296,0.000000,-0.216440
000191,-2.669061,0.169885,0.704478,0.000000,0.976296,0.000000,-0.216440
000192,-2.669061,0.169885,0.704478,0.000000,0.976296,0.000000,-0.216440
000193,-2.669061,0.169885,0.704478,0.000000,0.984808,0.000000,-0.173648
000194,-2.669061,0.169885,0.704478,0.000000,0.984808,0.000000,-0.173648
000195,-2.669061,0.169885,0.704478,0.000000,0.984808,0.000000,-0.173648
000196,-2.669061,0.169885,0.704478,0.000000,0.991445,0.000000,-0.130526
000197,-2.669061,0.169885,0.704478,0.000000,0.991445,0.000000,-0.130526
000198,-2.643179,0.169885,0.801071,0.000000,0.991445,0.000000,-0.130526
000199,-2.643179,0.169885,0.801071,0.000000,0.991445,0.000000,-0.130526
000200,-2.643179,0.169885,0.801071,0.000000,0.991445,0.000000,-0.130526
000201,-2.617297,0.169885,0.897663,0.000000,0.991445,0.000000,-0.130526
000202,-2.617297,0.169885,0.897663,0.000000,0.996195,0.000000,-0.087156
000203,-2.617297,0.169885,0.897663,0.000000,0.996195,0.000000,-0.087156
000204,-2.617297,0.169885,0.897663,0.000000,0.996195,0.000000,-0.087156
000205,-2.617297,0.169885,0.897663,0.000000,0.999048,0.000000,-0.043619
000206,-2.617297,0.169885,0.897663,0.000000,0.999048,0.000000,-0.043619
000207,-2.617297,0.169885,0.897663,0.000000,0.999048,0.000000,-0.043619
000208,-2.617297,0.169885,0.897663,0.000000,0.999048,0.000000,-0.043619
000209,-2.617297,0.169885,0.897663,0.000000,0.999048,0.000000,-0.043619
000210,-2.608582,0.169885,0.997283,0.000000,0.999048,0.000000,-0.043619
000211,-2.608582,0.169885,0.997283,0.000000,0.999048,0.000000,-0.043619
000212,-2.608582,0.169885,0.997283,0.000000,0.999048,0.000000,-0.043619
000213,-2.608582,0.169885,0.997283,0.000000,0.999048,0.000000,-0.043619
000214,-2.599866,0.169885,1.096902,0.000000,0.999048,0.000000,-0.043619
000215,-2.601328,0.169885,1.195957,0.000000,0.999048,0.000000,-0.043619
000216,-2.606819,0.169885,1.294787,0.000000,0.999048,0.000000,-0.043619
